geo,year,value
AL,2021,3.67
AT,2021,8.83
AT,2023,10.79
AT,2024,20.27
AT,2025,29.95
BA,2021,2.07
BA,2023,5.34
BA,2024,6.36
BA,2025,10.78
BE,2021,10.32
BE,2023,13.81
BE,2024,24.71
BE,2025,34.54
BG,2021,3.29
BG,2023,3.62
BG,2024,6.47
BG,2025,8.55
CY,2021,2.59
CY,2023,4.67
CY,2024,7.9
CY,2025,9.27
CZ,2021,4.46
CZ,2023,5.9
CZ,2024,11.26
CZ,2025,17.6
DE,2021,10.56
DE,2023,11.55
DE,2024,19.75
DE,2025,25.97
DK,2021,23.89
DK,2023,15.17
DK,2024,27.58
DK,2025,42.03
EA,2021,8.36
EA,2023,8.84
EA,2024,14.39
EA,2025,21.37
EE,2021,2.77
EE,2023,5.19
EE,2024,13.89
EE,2025,23.4
EL,2021,2.61
EL,2023,3.98
EL,2024,9.81
EL,2025,8.93
ES,2021,7.67
ES,2023,9.18
ES,2024,11.31
ES,2025,20.27
EU27_2020,2021,7.65
EU27_2020,2023,8.06
EU27_2020,2024,13.48
EU27_2020,2025,19.95
FI,2021,15.79
FI,2023,15.1
FI,2024,24.37
FI,2025,37.82
FR,2021,6.67
FR,2023,5.88
FR,2024,9.91
FR,2025,18.16
HR,2021,8.74
HR,2023,7.89
HR,2024,11.76
HR,2025,15.19
HU,2021,2.98
HU,2023,3.68
HU,2024,7.41
HU,2025,10.37
IE,2021,7.88
IE,2023,8.01
IE,2024,14.9
IE,2025,19.64
IT,2021,6.17
IT,2023,5.05
IT,2024,8.2
IT,2025,16.4
LT,2021,4.45
LT,2023,4.86
LT,2024,8.76
LT,2025,21.3
LU,2021,13.0
LU,2023,14.45
LU,2024,23.73
LU,2025,33.61
LV,2021,3.72
LV,2023,4.53
LV,2024,8.83
LV,2025,12.21
ME,2021,3.34
ME,2023,5.61
ME,2024,7.91
ME,2025,10.05
MT,2021,10.16
MT,2023,13.17
MT,2024,17.3
MT,2025,21.56
NL,2021,13.1
NL,2023,14.1
NL,2024,23.06
NL,2025,33.21
NO,2021,10.82
NO,2023,9.17
NO,2024,20.77
NO,2025,28.89
PL,2021,2.86
PL,2023,3.67
PL,2024,5.9
PL,2025,8.36
PT,2021,7.2
PT,2023,7.86
PT,2024,8.63
PT,2025,11.54
RO,2021,1.38
RO,2023,1.51
RO,2024,3.07
RO,2025,5.21
RS,2021,0.9
RS,2023,1.82
RS,2024,6.95
RS,2025,10.12
SE,2021,9.92
SE,2023,10.37
SE,2024,25.09
SE,2025,35.04
SI,2021,11.73
SI,2023,11.37
SI,2024,20.89
SI,2025,21.61
SK,2021,5.19
SK,2023,7.04
SK,2024,10.78
SK,2025,18.0
TR,2021,2.69
TR,2023,5.51
TR,2024,4.42
TR,2025,7.41
