geo,year,value,rank
AL,2021,3.67,24
AT,2021,8.83,11
AT,2023,10.79,9
AT,2024,20.27,9
AT,2025,29.95,7
BA,2021,2.07,33
BA,2023,5.34,23
BA,2024,6.36,31
BA,2025,10.78,25
BE,2021,10.32,8
BE,2023,13.81,5
BE,2024,24.71,3
BE,2025,34.54,4
BG,2021,3.29,26
BG,2023,3.62,32
BG,2024,6.47,30
BG,2025,8.55,31
CY,2021,2.59,32
CY,2023,4.67,27
CY,2024,7.9,27
CY,2025,9.27,29
CZ,2021,4.46,21
CZ,2023,5.9,19
CZ,2024,11.26,18
CZ,2025,17.6,20
DE,2021,10.56,7
DE,2023,11.55,7
DE,2024,19.75,10
DE,2025,25.97,9
DK,2021,23.89,1
DK,2023,15.17,1
DK,2024,27.58,1
DK,2025,42.03,1
EA,2021,8.36,13
EA,2023,8.84,13
EA,2024,14.39,13
EA,2025,21.37,13
EE,2021,2.77,29
EE,2023,5.19,24
EE,2024,13.89,14
EE,2025,23.4,10
EL,2021,2.61,31
EL,2023,3.98,29
EL,2024,9.81,21
EL,2025,8.93,30
ES,2021,7.67,15
ES,2023,9.18,11
ES,2024,11.31,17
ES,2025,20.27,15
EU27_2020,2021,7.65,16
EU27_2020,2023,8.06,14
EU27_2020,2024,13.48,15
EU27_2020,2025,19.95,16
FI,2021,15.79,2
FI,2023,15.1,2
FI,2024,24.37,4
FI,2025,37.82,2
FR,2021,6.67,18
FR,2023,5.88,20
FR,2024,9.91,20
FR,2025,18.16,18
HR,2021,8.74,12
HR,2023,7.89,16
HR,2024,11.76,16
HR,2025,15.19,22
HU,2021,2.98,27
HU,2023,3.68,30
HU,2024,7.41,28
HU,2025,10.37,26
IE,2021,7.88,14
IE,2023,8.01,15
IE,2024,14.9,12
IE,2025,19.64,17
IT,2021,6.17,19
IT,2023,5.05,25
IT,2024,8.2,25
IT,2025,16.4,21
LT,2021,4.45,22
LT,2023,4.86,26
LT,2024,8.76,23
LT,2025,21.3,14
LU,2021,13.0,4
LU,2023,14.45,3
LU,2024,23.73,5
LU,2025,33.61,5
LV,2021,3.72,23
LV,2023,4.53,28
LV,2024,8.83,22
LV,2025,12.21,23
ME,2021,3.34,25
ME,2023,5.61,21
ME,2024,7.91,26
ME,2025,10.05,28
MT,2021,10.16,9
MT,2023,13.17,6
MT,2024,17.3,11
MT,2025,21.56,12
NL,2021,13.1,3
NL,2023,14.1,4
NL,2024,23.06,6
NL,2025,33.21,6
NO,2021,10.82,6
NO,2023,9.17,12
NO,2024,20.77,8
NO,2025,28.89,8
PL,2021,2.86,28
PL,2023,3.67,31
PL,2024,5.9,32
PL,2025,8.36,32
PT,2021,7.2,17
PT,2023,7.86,17
PT,2024,8.63,24
PT,2025,11.54,24
RO,2021,1.38,34
RO,2023,1.51,34
RO,2024,3.07,34
RO,2025,5.21,34
RS,2021,0.9,35
RS,2023,1.82,33
RS,2024,6.95,29
RS,2025,10.12,27
SE,2021,9.92,10
SE,2023,10.37,10
SE,2024,25.09,2
SE,2025,35.04,3
SI,2021,11.73,5
SI,2023,11.37,8
SI,2024,20.89,7
SI,2025,21.61,11
SK,2021,5.19,20
SK,2023,7.04,18
SK,2024,10.78,19
SK,2025,18.0,19
TR,2021,2.69,30
TR,2023,5.51,22
TR,2024,4.42,33
TR,2025,7.41,33
