indic_is,count
E_AI_TX,6050
E_AI_TPA,5797
E_AI_TIR,5795
E_AI_TANY,5768
E_AI_TGE3,5768
E_AI_TML,5767
E_AI_TSR,5764
E_AI_TGE2,5752
E_AI_TAR,5750
E_AI_TNLG,5748
E_AI_PLOG,5683
E_AI_PPP,5653
E_AI_PMS,5650
E_AI_PITS,5638
E_AI_TTM,5621
E_AI_P1GE3,4216
E_AI_EC,4157
E_AI_PRDI,4154
E_AI_PBAM,4143
E_AI_P1ANY,4142
E_AI_PFIN,4140
E_AI_P1GE2,4129
E_AI_BCST,4060
E_AI_BLE,4058
E_AI_BLEG,4036
E_AI_BDDT,4035
E_AI_BCDP,4013
E_AI_BNU,3996
E_AI_BINC,3996
E_AI_BEC,3965
E_AI_AEXT,3903
E_AI_AMOWN,3901
E_AI_AOS,3890
E_AI_ARDY,3874
E_AI_ADOWN,3873
E_AI_CC,3009
E_AIX_CC1SIX_DA,2982
E_AI_CC1SI_DA_ANY,2968
E_AI_CC1SI_DASANY,2960
E_AI_CC1SI_DASANY2,2934
E_AIX_CC1SI_DA,2931
E_AI_CC1SI_DASGE3,2917
E_AI_CC1SIX_DA,2892
E_AI_DA,2884
E_AIX_CC1SI_DAX,2879
E_AI_CC1SIX_DAX,2877
E_AI_CC1SI_DAX,2864
E_AI_CC1SI_DA,2862
E_DI3_HI_AI_TANY,2803
E_DI3_LO_AI_TANY,2801
E_DI3_VHI_AI_TANY,2745
E_DI3_VLO_AI_TANY,2723
E_AI_PME,1502
E_AI_PBA,1487
E_AI_PHR,1459
E_AI_TPVSG,1401
E_AI_PDI,579
E_AI_BIAS_AEXT,526
E_AI_BIAS,526
E_AI_BIAS_ARDY,526
E_AI_BIAS_ADOWN,525
E_AI_BIAS_AOS,525
E_AI_BIAS_AMOWN,525
