nace_r2,count
C10-S951_X_K,5279
G45-S951_X_K,5174
C-F,5142
G,5138
C,5132
C26-C33,5118
J,5106
ICT,5093
C10-C18,5079
M,5051
F,5040
G47,5024
C19-C23,5020
N,5015
H,4983
I,4964
C-E,4954
C24_C25,4915
I55,4848
D_E,4792
G46,4672
N77-N82_X_N79,4644
J62_J63,4637
L,4632
L68,4632
C10-C12,4539
L_M,4526
G45,4465
C16-C18,4462
M69-M71,4440
C31-C33,4413
C22_C23,4335
N79,4286
C27_C28,4286
C13-C15,4230
C29_C30,4202
J58-J60,4152
M73-M75,4151
E,4076
C26,4053
C28,4050
C27,3934
C20,3844
J61,3811
D35,3774
D,3774
C21,3768
M72,3738
S951,3515
C19,2589
